timestamp,open
1325203200,261
1325116800,259.64
1325030400,259.69
1324944000,264.36
1324857600,265.79
1324598400,264.28
1324512000,264.18
1324425600,272.52
1324339200,270.41
1324252800,269.58
1323993600,265.7
1323907200,270.64
1323820800,274.82
1323734400,281.89
1323648000,285.55
1323388800,288.44
1323302400,288.64
1323216000,287.41
1323129600,287.21
1323043200,293.07
1322784000,293.07
1322697600,295.22
1322611200,289.92
1322524800,300.66
1322438400,298.79
1322352000,296.96
1322179200,296.18
1322092800,298.18
1322006400,297.9
1321920000,300.86
1321833600,298.49
1321747200,300.33
1321574400,300.34
1321488000,304.91
1321401600,307.82
1321315200,316.15
1321228800,315.74
1321142400,309.3
1320969600,309.31
1320883200,309.5
1320796800,315.38
1320710400,313.32
1320624000,313.92
1320537600,315.26
1320364800,316.44
1320278400,316.61
1320192000,314.91
1320105600,308.24
1320019200,308.24
1319932800,308.9
1319760000,308.9
1319673600,306.73
1319587200,302.94
1319500800,299.44
1319414400,293.73
1319328000,287.29
1319155200,286.46
1319068800,288.29
1318982400,295.36
1318896000,296.07
1318809600,304.74
1318723200,303.94
1318550400,303.36
1318464000,304.21
1318377600,300.99
1318291200,289.81
1318204800,291.17
1318118400,293.52
1317945600,293.52
1317859200,293.52
1317772800,293.52
1317686400,293.52
1317600000,293.52
1317340800,293.52
1317254400,295.07
1317168000,299.24
1317081600,304.81
1316995200,300.47
1316908800,307.03
1316736000,307.03
1316649600,307.85
1316563200,318.42
1316476800,309.32
1316390400,307.85
1316304000,313.92
1316131200,313.92
1316044800,315.02
1315958400,314.17
1315872000,311.97
1315785600,315.96
1315699200,315.96
1315526400,315.96
1315440000,317.59
1315353600,320.43
1315267200,312.89
1315180800,312.62
1315094400,321.55
1314921600,321.55
1314835200,325.24
1314748800,327.29
1314662400,326.99
1314576000,328.47
1314489600,333.43
1314316800,333.43
1314230400,333.34
1314144000,323.59
1314057600,326.39
1313971200,319.86
1313884800,322.63
1313712000,322.58
1313625600,320.07
1313539200,331.57
1313452800,332.61
1313366400,334.86
1313280000,329.89
1313107200,329.89
1313020800,328.31
1312934400,323.31
1312848000,320.07
1312761600,319.95
1312675200,333.29
1312502400,333.34
1312416000,340.78
1312329600,339.63
1312243200,338.23
1312156800,342.3
1312070400,341.54
1311897600,341.55
1311811200,342.69
1311724800,345.39
1311638400,342.34
1311552000,341.13
1311465600,353.18
1311292800,353.18
1311206400,352.13
1311120000,356.33
1311033600,356.68
1310947200,359.86
1310860800,360.16
1310688000,360.16
1310601600,357.33
1310515200,356.95
1310428800,350.63
1310342400,356.73
1310256000,354.45
1310083200,355.6
1309996800,355.27
1309910400,357.18
1309824000,356.31
1309737600,356.33
1309651200,348.3
1309478400,347.81
1309392000,348.1
1309305600,342.38
1309219200,347.01
1309132800,347
1309046400,344.85
1308873600,344.89
1308787200,335.28
1308700800,330.05
1308614400,331.96
1308528000,328.62
1308441600,329.78
1308268800,330.36
1308182400,333.72
1308096000,338.36
1308009600,342.4
1307923200,338.35
1307836800,338.33
1307664000,339.43
1307577600,337.77
1307491200,344.75
1307404800,345.17
1307318400,342.75
1307059200,342.87
1306972800,338.97
1306886400,340.6
1306800000,343.04
1306713600,338.03
1306627200,338.79
1306454400,339.93
1306368000,344.54
1306281600,346.04
1306195200,350.06
1306108800,349.75
1306022400,361.8
1305849600,361.79
1305763200,361.9
1305676800,363.94
1305590400,361.17
1305504000,360.87
1305417600,363.33
1305244800,363.33
1305158400,360.06
1305072000,365.2
1304985600,367.05
1304899200,363.11
1304812800,361.76
1304640000,361.74
1304553600,361.89
1304467200,361.78
1304380800,370.25
1304294400,366.94
1304035200,366.94
1303948800,363.22
1303862400,370.16
1303776000,373.09
1303689600,376.85
1303603200,383.02
1303430400,383.02
1303344000,384.75
1303257600,382.2
1303171200,381.11
1303084800,388
1302998400,387.29
1302825600,387.3
1302739200,386.19
1302652800,387.58
1302566400,382.94
1302480000,382.95
1302393600,384.96
1302220800,384.95
1302134400,381.65
1302048000,380.49
1301961600,376.38
1301875200,370.61
1301616000,376.38
1301529600,370.61
1301443200,374.72
1301356800,376.58
1301270400,379.35
1301184000,379.24
1301011200,379.24
1300924800,374.92
1300838400,375.65
1300752000,371.08
1300665600,369.43
1300579200,370.54
1300406400,370.54
1300320000,368.56
1300233600,374.55
1300147200,369.4
1300060800,375.25
1299974400,373.22
1299801600,373.24
1299715200,376.12
1299628800,382.08
1299542400,381.67
1299456000,380.75
1299369600,374.57
1299196800,374.57
1299110400,369.18
1299024000,371.94
1298937600,372.64
1298851200,370.47
1298764800,365.88
1298592000,365.82
1298505600,365.31
1298419200,363.19
1298332800,360.61
1298246400,371.01
1298160000,365.83
1297987200,365.84
1297900800,368.89
1297814400,368.27
1297728000,364.65
1297641600,364.87
1297555200,355.46
1297382400,355.46
1297296000,353.64
1297209600,346.65
1297123200,349.53
1297036800,349.09
1296777600,349.04
1296691200,349.04
1296604800,349.09
1296518400,349.53
1296432000,349.09
1296345600,344.18
1296172800,344.18
1296086400,342.76
1296000000,337.51
1295913600,332.75
1295827200,335.3
1295740800,339.27
1295568000,339.27
1295481600,334.92
1295395200,345.89
1295308800,338.51
1295222400,337.79
1295136000,350.76
1294963200,356.91
1294876800,356.91
1294790400,354.61
1294704000,353.57
1294617600,360.76
1294358400,359.72
1294272000,361.41
1294185600,362.27
1294099200,356.06
1294012800,349.13
