time,mag
1293875818,7
1293999617,7.2
1294935401,7
1295382203,7.2
1299638720,7.3
1299822384,9
1299824140,7.9
1299824750,7.7
1302186763,7.1
1308884979,7.3
1309978998,7.6
1310259430,7
1313859302,7.2
1313864363,7.1
1314207971,7
1315090540,7
1316115064,7.3
1319219836,7.4
1319366482,7.1
1323839099,7.1
